"","jobTitle","location","skill","count"
"183","Data Scientist | Sydney | Permanent | Broad Industry Alignment","Sydney","(C++)","110"
"184","Data Scientist | Sydney | Permanent | Broad Industry Alignment","Sydney","Phd","0"
"185","Lead Data Scientist (Customer Marketing)","Sydney","Python","4"
"186","Lead Data Scientist (Customer Marketing)","Sydney","programming","0"
"187","Lead Data Scientist (Customer Marketing)","Sydney","analytics","6"
"188","Lead Data Scientist (Customer Marketing)","Sydney","mathematics","0"
"189","Lead Data Scientist (Customer Marketing)","Sydney","machine learning","0"
"190","Lead Data Scientist (Customer Marketing)","Sydney","team","2"
"191","Lead Data Scientist (Customer Marketing)","Sydney","Cooperation","0"
"192","Lead Data Scientist (Customer Marketing)","Sydney","statistics","0"
"193","Lead Data Scientist (Customer Marketing)","Sydney","SQL","6"
"194","Lead Data Scientist (Customer Marketing)","Sydney","communication","0"
"195","Lead Data Scientist (Customer Marketing)","Sydney","big data","0"
"196","Lead Data Scientist (Customer Marketing)","Sydney","design","0"
"197","Lead Data Scientist (Customer Marketing)","Sydney","visualization","0"
"198","Lead Data Scientist (Customer Marketing)","Sydney","Hadoop","0"
"199","Lead Data Scientist (Customer Marketing)","Sydney","Java","0"
"200","Lead Data Scientist (Customer Marketing)","Sydney","research","0"
"201","Lead Data Scientist (Customer Marketing)","Sydney","creative","0"
"202","Lead Data Scientist (Customer Marketing)","Sydney","MATLAB","0"
"203","Lead Data Scientist (Customer Marketing)","Sydney","SAS","4"
"204","Lead Data Scientist (Customer Marketing)","Sydney"," R ","2"
"205","Lead Data Scientist (Customer Marketing)","Sydney","Modelling","0"
"206","Lead Data Scientist (Customer Marketing)","Sydney","(C++)","123"
"207","Lead Data Scientist (Customer Marketing)","Sydney","Phd","0"
"208","Mid-Level Data Scientist; Data Analyst","Sydney","Python","0"
"209","Mid-Level Data Scientist; Data Analyst","Sydney","programming","0"
"210","Mid-Level Data Scientist; Data Analyst","Sydney","analytics","4"
"211","Mid-Level Data Scientist; Data Analyst","Sydney","mathematics","0"
"212","Mid-Level Data Scientist; Data Analyst","Sydney","machine learning","0"
"213","Mid-Level Data Scientist; Data Analyst","Sydney","team","0"
"214","Mid-Level Data Scientist; Data Analyst","Sydney","Cooperation","0"
"215","Mid-Level Data Scientist; Data Analyst","Sydney","statistics","1"
"216","Mid-Level Data Scientist; Data Analyst","Sydney","SQL","0"
"217","Mid-Level Data Scientist; Data Analyst","Sydney","communication","0"
"218","Mid-Level Data Scientist; Data Analyst","Sydney","big data","0"
"219","Mid-Level Data Scientist; Data Analyst","Sydney","design","0"
"220","Mid-Level Data Scientist; Data Analyst","Sydney","visualization","0"
"221","Mid-Level Data Scientist; Data Analyst","Sydney","Hadoop","0"
"222","Mid-Level Data Scientist; Data Analyst","Sydney","Java","0"
"223","Mid-Level Data Scientist; Data Analyst","Sydney","research","0"
"224","Mid-Level Data Scientist; Data Analyst","Sydney","creative","1"
"225","Mid-Level Data Scientist; Data Analyst","Sydney","MATLAB","0"
"226","Mid-Level Data Scientist; Data Analyst","Sydney","SAS","0"
"227","Mid-Level Data Scientist; Data Analyst","Sydney"," R ","0"
